,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Libc,56.2,116,200,326,479,621,731,775,700,611,533,414,343,315,310,303,300,299,296,296,296,294,294,296
Iter.,180,223,257,275,288,281,289,295,297,298,299,298,299,298,298,297,296,294,294,291,294,292,294,294
256,n/a,n/a,n/a,n/a,n/a,n/a,n/a,760,745,619,565,570,399,345,326,307,299,300,297,295,295,296,294,296
128,n/a,n/a,n/a,n/a,n/a,n/a,756,723,643,563,557,438,408,341,364,306,309,298,295,295,296,294,296,296
64,n/a,n/a,n/a,n/a,n/a,736,700,705,701,592,545,473,529,334,312,305,298,301,297,295,296,296,296,295
32,n/a,n/a,n/a,n/a,720,649,669,576,628,530,490,424,326,337,361,304,309,298,295,296,296,294,296,296
16,n/a,n/a,n/a,652,550,575,587,584,573,451,406,371,360,322,316,300,301,298,297,295,294,296,296,296
8,n/a,n/a,459,391,418,421,426,427,424,424,438,436,426,413,419,308,306,298,296,295,296,293,296,296
4,n/a,299,257,276,288,293,296,295,297,297,299,297,298,298,298,297,296,295,292,294,291,294,292,292
2,163,138,149,155,159,162,161,162,163,163,163,163,162,163,162,162,163,163,163,163,162,161,161,163
1,74.6,81.2,85,87.7,88.8,87.7,88.9,89.4,89.2,89.7,89.8,89.3,89.3,89.6,89.3,89.8,88.8,89.8,88.5,89.8,88.5,89.6,89.7,89.7
