,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Libc,24,49,95.2,166,284,392,493,560,570,605,567,424,309,295,296,285,268,257,259,258,256,258,256,250
Iter.,150,179,200,210,218,215,218,222,223,223,223,214,208,207,200,199,173,148,146,142,142,141,140,138
256,n/a,n/a,n/a,n/a,n/a,n/a,n/a,416,411,415,413,375,327,298,298,287,251,236,243,235,242,242,235,230
128,n/a,n/a,n/a,n/a,n/a,n/a,412,404,406,409,408,379,327,297,296,275,229,236,243,239,239,242,233,233
64,n/a,n/a,n/a,n/a,n/a,408,395,398,402,404,402,371,320,298,295,294,230,235,242,243,236,242,233,228
32,n/a,n/a,n/a,n/a,395,369,378,382,386,387,387,302,325,302,296,281,231,238,239,239,239,238,236,230
16,n/a,n/a,n/a,369,323,336,343,341,348,347,350,316,310,295,288,281,241,234,236,235,235,234,231,219
8,n/a,n/a,332,261,279,289,293,295,297,298,297,298,266,270,272,262,177,163,163,164,162,162,163,162
4,n/a,226,182,202,213,217,220,220,223,223,224,213,209,209,201,171,129,123,120,119,122,120,120,120
2,137,108,118,122,125,126,126,127,128,128,128,127,125,127,126,116,101,101,99.5,99.7,99.9,101,99.5,99.8
1,57.1,63.9,65.6,67.4,68,68,68.6,68.4,69,68.7,69.1,68.7,68.4,68.2,67.6,65.3,58.7,58.3,58.5,58,58.9,59,59,58.7
