,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Iter.,12.1,12.2,12.3,12.4,12.4,12.3,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.3,11.8,11.3,11,11,11,11.1,11.1,11
256,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.3,12.3,11.6,11.2,11.1,11,11,11,11,11.1
128,n/a,n/a,n/a,n/a,n/a,n/a,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.2,11.7,11.2,11,11,11,11,11.1,11.1
64,n/a,n/a,n/a,n/a,n/a,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.1,11.7,11.1,11,11,10.9,11,11,11
32,n/a,n/a,n/a,n/a,12.4,12.4,12.4,12.3,12.4,12.4,12.3,12.4,12.3,12.3,12.4,12.3,11.7,11.2,11,11,11,11,11,11
16,n/a,n/a,n/a,12.3,12.3,12.3,12.3,12.4,12.3,12.4,12.4,12.3,12.3,12.3,12.3,12.2,11.6,11.2,10.9,10.9,10.9,11,10.9,11
8,n/a,n/a,12.3,12.2,12.3,12.2,12.3,12.3,12.3,12.3,12.3,12.3,12.2,12.2,12.2,12.2,11.6,11,10.9,10.9,11,10.9,10.9,11
4,n/a,12.2,12,12.1,12,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12,11.5,10.9,10.7,10.7,10.7,10.7,10.7,10.7
2,12,11.6,11.7,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.7,11.2,10.9,10.7,10.6,10.6,10.6,10.7,10.7
1,10.9,11,11.1,11.2,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.1,10.6,10,9.79,9.78,9.72,9.76,9.75,9.77
