,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Iter.,13.2,13.5,13.5,13.6,13.5,13.5,13.6,13.6,13.5,13.6,13.6,13.6,13.5,13.6,13.6,13.4,12.8,12.2,11.9,11.9,11.9,11.9,11.9,11.9
256,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13.8,13.8,13.8,13.8,13.8,13.7,13.8,13.8,13.7,13,12.2,12,12,12.1,12,12,12
128,n/a,n/a,n/a,n/a,n/a,n/a,13.7,13.8,13.8,13.7,13.8,13.8,13.8,13.8,13.7,13.6,13.1,12.2,12,12,12,12,12,12
64,n/a,n/a,n/a,n/a,n/a,13.8,13.8,13.7,13.8,13.8,13.7,13.8,13.8,13.8,13.8,13.6,13,12.3,12,12,12,12,12.1,12
32,n/a,n/a,n/a,n/a,13.8,13.7,13.8,13.8,13.7,13.8,13.8,13.7,13.7,13.7,13.5,13.6,13,12.2,12.1,12,12,12,12,12
16,n/a,n/a,n/a,13.7,13.6,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.6,13.7,13.6,13.6,13,12.2,12,12,12,12,12,12
8,n/a,n/a,13.7,13.5,13.5,13.5,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.4,12.9,12.2,12,12,12,11.9,11.9,11.9
4,n/a,13.5,13.2,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.5,13.4,13.4,13.4,13.3,12.7,12,11.8,11.9,11.8,11.8,11.8,11.8
2,13.3,12.8,12.9,13,13,13.1,13.1,13,13.1,13,13.1,13.1,13,13.1,13.1,13,12.4,11.9,11.6,11.6,11.5,11.6,11.6,11.6
1,11.9,12.2,12.3,12.3,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.3,11.7,10.8,10.6,10.6,10.6,10.6,10.6,10.6
